 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   7,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  1.100E+00  9.21439E-05  1.25162E-09  3.01175E-10  1.05579E-11  2.54054E-12
  1.200E+00  1.09658E-04  1.05518E-09  2.63825E-10  9.71013E-12  2.42782E-12
  1.300E+00  1.28695E-04  9.00897E-10  2.33153E-10  8.98135E-12  2.32439E-12
  1.400E+00  1.49255E-04  7.77646E-10  2.07643E-10  8.34909E-12  2.22933E-12
  1.500E+00  1.71338E-04  6.77718E-10  1.86189E-10  7.79606E-12  2.14181E-12
  1.600E+00  1.94942E-04  5.95640E-10  1.67969E-10  7.30878E-12  2.06106E-12
  1.700E+00  2.20070E-04  5.27440E-10  1.52359E-10  6.87653E-12  1.98639E-12
  1.800E+00  2.46720E-04  4.70186E-10  1.38879E-10  6.49077E-12  1.91718E-12
  1.900E+00  2.74892E-04  4.21674E-10  1.27156E-10  6.14457E-12  1.85289E-12
  2.000E+00  3.04586E-04  3.80225E-10  1.16894E-10  5.83228E-12  1.79302E-12
  2.100E+00  3.35803E-04  3.44542E-10  1.07857E-10  5.54927E-12  1.73716E-12
  2.200E+00  3.68542E-04  3.13610E-10  9.98571E-11  5.29169E-12  1.68492E-12
  2.300E+00  4.02802E-04  2.86626E-10  9.27387E-11  5.05631E-12  1.63596E-12
  2.400E+00  4.38585E-04  2.62951E-10  8.63759E-11  4.84043E-12  1.58999E-12
  2.500E+00  4.75889E-04  2.42068E-10  8.06641E-11  4.64176E-12  1.54674E-12
  2.600E+00  5.14715E-04  2.23557E-10  7.55164E-11  4.45835E-12  1.50598E-12
  2.700E+00  5.55063E-04  2.07074E-10  7.08600E-11  4.28853E-12  1.46749E-12
  2.800E+00  5.96931E-04  1.92334E-10  6.66335E-11  4.13087E-12  1.43110E-12
  2.900E+00  6.40321E-04  1.79101E-10  6.27849E-11  3.98411E-12  1.39662E-12
  3.000E+00  6.85233E-04  1.67177E-10  5.92699E-11  3.84718E-12  1.36392E-12
  3.100E+00  7.31665E-04  1.56397E-10  5.60505E-11  3.71914E-12  1.33285E-12
  3.200E+00  7.79618E-04  1.46618E-10  5.30940E-11  3.59914E-12  1.30330E-12
  3.300E+00  8.29092E-04  1.37722E-10  5.03722E-11  3.48648E-12  1.27515E-12
  3.400E+00  8.80086E-04  1.29605E-10  4.78604E-11  3.38049E-12  1.24830E-12
  3.500E+00  9.32601E-04  1.22179E-10  4.55374E-11  3.28060E-12  1.22267E-12
  3.600E+00  9.86636E-04  1.15369E-10  4.33845E-11  3.18632E-12  1.19816E-12
  3.700E+00  1.04219E-03  1.09109E-10  4.13851E-11  3.09719E-12  1.17472E-12
  3.800E+00  1.09927E-03  1.03340E-10  3.95248E-11  3.01279E-12  1.15225E-12
  3.900E+00  1.15786E-03  9.80137E-11  3.77908E-11  2.93276E-12  1.13072E-12
  4.000E+00  1.21797E-03  9.30855E-11  3.61718E-11  2.85678E-12  1.11005E-12
  4.100E+00  1.27961E-03  8.85169E-11  3.46576E-11  2.78455E-12  1.09019E-12
  4.200E+00  1.34276E-03  8.42739E-11  3.32393E-11  2.71580E-12  1.07110E-12
  4.300E+00  1.40743E-03  8.03264E-11  3.19089E-11  2.65028E-12  1.05273E-12
  4.400E+00  1.47362E-03  7.66476E-11  3.06590E-11  2.58778E-12  1.03504E-12
  4.500E+00  1.54133E-03  7.32139E-11  2.94833E-11  2.52809E-12  1.01799E-12
  4.600E+00  1.61056E-03  7.00040E-11  2.83759E-11  2.47102E-12  1.00155E-12
  4.700E+00  1.68131E-03  6.69989E-11  2.73315E-11  2.41642E-12  9.85681E-13
  4.800E+00  1.75357E-03  6.41816E-11  2.63453E-11  2.36412E-12  9.70353E-13
  4.900E+00  1.82735E-03  6.15370E-11  2.54131E-11  2.31399E-12  9.55540E-13
  5.000E+00  1.90265E-03  5.90511E-11  2.45310E-11  2.26588E-12  9.41215E-13
  5.100E+00  1.97947E-03  5.67116E-11  2.36952E-11  2.21969E-12  9.27354E-13
  5.200E+00  2.05780E-03  5.45072E-11  2.29027E-11  2.17530E-12  9.13933E-13
  5.300E+00  2.13765E-03  5.24278E-11  2.21504E-11  2.13261E-12  9.00931E-13
  5.400E+00  2.21902E-03  5.04642E-11  2.14356E-11  2.09152E-12  8.88329E-13
  5.500E+00  2.30190E-03  4.86079E-11  2.07558E-11  2.05195E-12  8.76108E-13
  5.600E+00  2.38630E-03  4.68513E-11  2.01088E-11  2.01381E-12  8.64249E-13
  5.700E+00  2.47222E-03  4.51873E-11  1.94924E-11  1.97703E-12  8.52737E-13
  5.800E+00  2.55965E-03  4.36097E-11  1.89046E-11  1.94154E-12  8.41555E-13
  5.900E+00  2.64859E-03  4.21126E-11  1.83438E-11  1.90726E-12  8.30690E-13
  6.000E+00  2.73905E-03  4.06906E-11  1.78083E-11  1.87415E-12  8.20128E-13
  6.100E+00  2.83103E-03  3.93387E-11  1.72965E-11  1.84213E-12  8.09856E-13
  6.200E+00  2.92452E-03  3.80525E-11  1.68071E-11  1.81117E-12  7.99861E-13
  6.300E+00  3.01952E-03  3.68278E-11  1.63387E-11  1.78120E-12  7.90133E-13
  6.400E+00  3.11604E-03  3.56607E-11  1.58902E-11  1.75219E-12  7.80659E-13
  6.500E+00  3.21407E-03  3.45478E-11  1.54603E-11  1.72408E-12  7.71431E-13
  6.600E+00  3.31362E-03  3.34856E-11  1.50482E-11  1.69683E-12  7.62438E-13
  6.700E+00  3.41468E-03  3.24713E-11  1.46527E-11  1.67042E-12  7.53671E-13
  6.800E+00  3.51725E-03  3.15019E-11  1.42731E-11  1.64479E-12  7.45121E-13
  6.900E+00  3.62133E-03  3.05748E-11  1.39084E-11  1.61991E-12  7.36781E-13
  7.000E+00  3.72692E-03  2.96877E-11  1.35578E-11  1.59576E-12  7.28641E-13
  7.100E+00  3.83403E-03  2.88383E-11  1.32208E-11  1.57230E-12  7.20695E-13
  7.200E+00  3.94265E-03  2.80245E-11  1.28964E-11  1.54950E-12  7.12937E-13
  7.300E+00  4.05278E-03  2.72443E-11  1.25842E-11  1.52733E-12  7.05357E-13
  7.400E+00  4.16442E-03  2.64959E-11  1.22834E-11  1.50577E-12  6.97952E-13
  7.500E+00  4.27757E-03  2.57776E-11  1.19936E-11  1.48480E-12  6.90714E-13
  7.600E+00  4.39223E-03  2.50879E-11  1.17142E-11  1.46439E-12  6.83637E-13
  7.700E+00  4.50840E-03  2.44252E-11  1.14446E-11  1.44451E-12  6.76717E-13
  7.800E+00  4.62608E-03  2.37881E-11  1.11846E-11  1.42516E-12  6.69947E-13
  7.900E+00  4.74527E-03  2.31754E-11  1.09335E-11  1.40630E-12  6.63323E-13
  8.000E+00  4.86597E-03  2.25858E-11  1.06909E-11  1.38792E-12  6.56840E-13
  8.100E+00  4.98817E-03  2.20182E-11  1.04566E-11  1.37000E-12  6.50493E-13
  8.200E+00  5.11188E-03  2.14715E-11  1.02301E-11  1.35253E-12  6.44279E-13
  8.300E+00  5.23711E-03  2.09447E-11  1.00110E-11  1.33548E-12  6.38191E-13
  8.400E+00  5.36383E-03  2.04369E-11  9.79907E-12  1.31885E-12  6.32228E-13
  8.500E+00  5.49207E-03  1.99471E-11  9.59396E-12  1.30262E-12  6.26384E-13
  8.600E+00  5.62181E-03  1.94745E-11  9.39539E-12  1.28677E-12  6.20656E-13
  8.700E+00  5.75306E-03  1.90184E-11  9.20306E-12  1.27128E-12  6.15040E-13
  8.800E+00  5.88581E-03  1.85779E-11  9.01672E-12  1.25616E-12  6.09534E-13
  8.900E+00  6.02007E-03  1.81523E-11  8.83612E-12  1.24138E-12  6.04133E-13
  9.000E+00  6.15583E-03  1.77411E-11  8.66102E-12  1.22694E-12  5.98835E-13
  9.100E+00  6.29310E-03  1.73435E-11  8.49120E-12  1.21282E-12  5.93637E-13
  9.200E+00  6.43187E-03  1.69590E-11  8.32644E-12  1.19901E-12  5.88536E-13
  9.300E+00  6.57214E-03  1.65870E-11  8.16654E-12  1.18550E-12  5.83529E-13
  9.400E+00  6.71392E-03  1.62270E-11  8.01131E-12  1.17229E-12  5.78612E-13
  9.500E+00  6.85720E-03  1.58784E-11  7.86057E-12  1.15935E-12  5.73785E-13
  9.600E+00  7.00198E-03  1.55408E-11  7.71414E-12  1.14669E-12  5.69044E-13
  9.700E+00  7.14827E-03  1.52137E-11  7.57185E-12  1.13430E-12  5.64387E-13
  9.800E+00  7.29605E-03  1.48968E-11  7.43356E-12  1.12217E-12  5.59812E-13
