 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  53,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  8.500E-01  5.50205E-05  5.67514E-09  1.29971E-08  3.69889E-11  8.47438E-11
  8.750E-01  5.83045E-05  5.13505E-09  1.24327E-08  3.44526E-11  8.34488E-11
  9.000E-01  6.16838E-05  4.64299E-09  1.19005E-08  3.20407E-11  8.21602E-11
  9.250E-01  6.51582E-05  4.19444E-09  1.13984E-08  2.97489E-11  8.08806E-11
  9.500E-01  6.87277E-05  3.78537E-09  1.09243E-08  2.75726E-11  7.96126E-11
  9.750E-01  7.23925E-05  3.41214E-09  1.04764E-08  2.55073E-11  7.83581E-11
  1.000E+00  7.61524E-05  3.07143E-09  1.00528E-08  2.35484E-11  7.71189E-11
  1.100E+00  9.21439E-05  1.97848E-09  8.57259E-09  1.66828E-11  7.23435E-11
  1.200E+00  1.09658E-04  1.21225E-09  7.37473E-09  1.11474E-11  6.78959E-11
  1.300E+00  1.28695E-04  6.70037E-10  6.39562E-09  6.67001E-12  6.37916E-11
  1.400E+00  1.49255E-04  2.82516E-10  5.58723E-09  3.02174E-12  6.00183E-11
  1.500E+00  1.71338E-04  2.95790E-12  4.91320E-09  2.09756E-14  5.65504E-11
  1.600E+00  1.94942E-04 -2.00224E-10  4.34587E-09 -2.47143E-12  5.33579E-11
  1.700E+00  2.20070E-04 -3.48547E-10  3.86417E-09 -4.56026E-12  5.04113E-11
  1.800E+00  2.46720E-04 -4.56843E-10  3.45187E-09 -6.32405E-12  4.76839E-11
  1.900E+00  2.74892E-04 -5.35495E-10  3.09642E-09 -7.82199E-12  4.51523E-11
  2.000E+00  3.04586E-04 -5.91898E-10  2.78798E-09 -9.09928E-12  4.27965E-11
  2.100E+00  3.35803E-04 -6.31409E-10  2.51879E-09 -1.01910E-11  4.05995E-11
  2.200E+00  3.68542E-04 -6.57980E-10  2.28262E-09 -1.11250E-11  3.85467E-11
