 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   1,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  8.250E-01  5.18317E-05  3.34493E-10  1.26970E-11  2.11599E-12  8.03205E-14
  8.500E-01  5.50205E-05  3.15109E-10  1.21017E-11  2.05378E-12  7.88748E-14
  8.750E-01  5.83045E-05  2.97362E-10  1.15488E-11  1.99511E-12  7.74851E-14
  9.000E-01  6.16838E-05  2.81073E-10  1.10343E-11  1.93970E-12  7.61481E-14
  9.250E-01  6.51582E-05  2.66085E-10  1.05546E-11  1.88728E-12  7.48611E-14
  9.500E-01  6.87277E-05  2.52264E-10  1.01066E-11  1.83762E-12  7.36212E-14
  9.750E-01  7.23925E-05  2.39493E-10  9.68759E-12  1.79050E-12  7.24258E-14
  1.000E+00  7.61524E-05  2.27667E-10  9.29502E-12  1.74573E-12  7.12728E-14
  1.100E+00  9.21439E-05  1.88150E-10  7.94823E-12  1.58700E-12  6.70406E-14
  1.200E+00  1.09658E-04  1.58093E-10  6.88268E-12  1.45471E-12  6.33308E-14
  1.300E+00  1.28695E-04  1.34701E-10  6.02416E-12  1.34276E-12  6.00507E-14
  1.400E+00  1.49255E-04  1.16141E-10  5.32157E-12  1.24681E-12  5.71279E-14
  1.500E+00  1.71338E-04  1.01167E-10  4.73880E-12  1.16364E-12  5.45057E-14
  1.600E+00  1.94942E-04  8.89127E-11  4.24966E-12  1.09087E-12  5.21385E-14
  1.700E+00  2.20070E-04  7.87566E-11  3.83484E-12  1.02667E-12  4.99899E-14
  1.800E+00  2.46720E-04  7.02459E-11  3.47977E-12  9.69594E-13  4.80300E-14
  1.900E+00  2.74892E-04  6.30434E-11  3.17334E-12  9.18530E-13  4.62340E-14
  2.000E+00  3.04586E-04  5.68942E-11  2.90692E-12  8.72572E-13  4.45817E-14
  2.100E+00  3.35803E-04  5.16025E-11  2.67372E-12  8.30992E-13  4.30558E-14
  2.200E+00  3.68542E-04  4.70160E-11  2.46836E-12  7.93192E-13  4.16419E-14
  2.300E+00  4.02802E-04  4.30146E-11  2.28651E-12  7.58679E-13  4.03276E-14
  2.400E+00  4.38585E-04  3.95031E-11  2.12465E-12  7.27043E-13  3.91025E-14
  2.500E+00  4.75889E-04  3.64045E-11  1.97992E-12  6.97938E-13  3.79573E-14
  2.600E+00  5.14715E-04  3.36565E-11  1.84994E-12  6.71072E-13  3.68843E-14
  2.700E+00  5.55063E-04  3.12083E-11  1.73274E-12  6.46196E-13  3.58766E-14
  2.800E+00  5.96931E-04  2.90177E-11  1.62667E-12  6.23097E-13  3.49282E-14
  2.900E+00  6.40321E-04  2.70498E-11  1.53035E-12  6.01591E-13  3.40338E-14
  3.000E+00  6.85233E-04  2.52754E-11  1.44259E-12  5.81520E-13  3.31888E-14
  3.100E+00  7.31665E-04  2.36700E-11  1.36240E-12  5.62743E-13  3.23890E-14
  3.200E+00  7.79618E-04  2.22128E-11  1.28892E-12  5.45140E-13  3.16308E-14
  3.300E+00  8.29092E-04  2.08861E-11  1.22140E-12  5.28603E-13  3.09109E-14
  3.400E+00  8.80086E-04  1.96747E-11  1.15922E-12  5.13040E-13  3.02264E-14
  3.500E+00  9.32601E-04  1.85656E-11  1.10180E-12  4.98365E-13  2.95745E-14
  3.600E+00  9.86636E-04  1.75478E-11  1.04867E-12  4.84506E-13  2.89530E-14
  3.700E+00  1.04219E-03  1.66113E-11  9.99410E-13  4.71397E-13  2.83597E-14
  3.800E+00  1.09927E-03  1.57478E-11  9.53642E-13  4.58977E-13  2.77927E-14
  3.900E+00  1.15786E-03  1.49499E-11  9.11039E-13  4.47194E-13  2.72501E-14
  4.000E+00  1.21797E-03  1.42111E-11  8.71313E-13  4.36000E-13  2.67304E-14
  4.100E+00  1.27961E-03  1.35257E-11  8.34205E-13  4.25352E-13  2.62321E-14
  4.200E+00  1.34276E-03  1.28887E-11  7.99486E-13  4.15211E-13  2.57538E-14
  4.300E+00  1.40743E-03  1.22956E-11  7.66954E-13  4.05542E-13  2.52944E-14
  4.400E+00  1.47362E-03  1.17425E-11  7.36424E-13  3.96312E-13  2.48527E-14
  4.500E+00  1.54133E-03  1.12258E-11  7.07735E-13  3.87492E-13  2.44276E-14
  4.600E+00  1.61056E-03  1.07425E-11  6.80737E-13  3.79056E-13  2.40183E-14
  4.700E+00  1.68131E-03  1.02898E-11  6.55299E-13  3.70979E-13  2.36237E-14
  4.800E+00  1.75357E-03  9.86500E-12  6.31302E-13  3.63238E-13  2.32431E-14
  4.900E+00  1.82735E-03  9.46598E-12  6.08636E-13  3.55813E-13  2.28758E-14
