 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   6,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  2.500E+00  4.75889E-04  2.10060E-10  6.11605E-11  4.02785E-12  1.17272E-12
  2.600E+00  5.14715E-04  1.94047E-10  5.72386E-11  3.86971E-12  1.14143E-12
  2.700E+00  5.55063E-04  1.79787E-10  5.36930E-11  3.72330E-12  1.11193E-12
  2.800E+00  5.96931E-04  1.67034E-10  5.04766E-11  3.58736E-12  1.08405E-12
  2.900E+00  6.40321E-04  1.55583E-10  4.75492E-11  3.46084E-12  1.05767E-12
  3.000E+00  6.85233E-04  1.45264E-10  4.48767E-11  3.34278E-12  1.03266E-12
  3.100E+00  7.31665E-04  1.35933E-10  4.24300E-11  3.23238E-12  1.00892E-12
  3.200E+00  7.79618E-04  1.27467E-10  4.01840E-11  3.12891E-12  9.86351E-13
  3.300E+00  8.29092E-04  1.19764E-10  3.81169E-11  3.03175E-12  9.64868E-13
  3.400E+00  8.80086E-04  1.12735E-10  3.62101E-11  2.94034E-12  9.44390E-13
  3.500E+00  9.32601E-04  1.06303E-10  3.44471E-11  2.85419E-12  9.24848E-13
  3.600E+00  9.86636E-04  1.00404E-10  3.28135E-11  2.77286E-12  9.06177E-13
  3.700E+00  1.04219E-03  9.49788E-11  3.12969E-11  2.69596E-12  8.88319E-13
  3.800E+00  1.09927E-03  8.99796E-11  2.98862E-11  2.62314E-12  8.71219E-13
  3.900E+00  1.15786E-03  8.53627E-11  2.85715E-11  2.55409E-12  8.54829E-13
  4.000E+00  1.21797E-03  8.10901E-11  2.73443E-11  2.48851E-12  8.39104E-13
  4.100E+00  1.27961E-03  7.71286E-11  2.61968E-11  2.42617E-12  8.24004E-13
  4.200E+00  1.34276E-03  7.34487E-11  2.51222E-11  2.36681E-12  8.09491E-13
  4.300E+00  1.40743E-03  7.00244E-11  2.41143E-11  2.31025E-12  7.95530E-13
  4.400E+00  1.47362E-03  6.68328E-11  2.31676E-11  2.25628E-12  7.82088E-13
  4.500E+00  1.54133E-03  6.38531E-11  2.22773E-11  2.20473E-12  7.69138E-13
  4.600E+00  1.61056E-03  6.10672E-11  2.14387E-11  2.15544E-12  7.56651E-13
  4.700E+00  1.68131E-03  5.84585E-11  2.06480E-11  2.10827E-12  7.44602E-13
  4.800E+00  1.75357E-03  5.60125E-11  1.99016E-11  2.06308E-12  7.32968E-13
  4.900E+00  1.82735E-03  5.37159E-11  1.91960E-11  2.01976E-12  7.21726E-13
  5.000E+00  1.90265E-03  5.15568E-11  1.85284E-11  1.97819E-12  7.10858E-13
  5.100E+00  1.97947E-03  4.95245E-11  1.78960E-11  1.93826E-12  7.00343E-13
  5.200E+00  2.05780E-03  4.76093E-11  1.72964E-11  1.89989E-12  6.90164E-13
  5.300E+00  2.13765E-03  4.58024E-11  1.67273E-11  1.86298E-12  6.80305E-13
  5.400E+00  2.21902E-03  4.40957E-11  1.61866E-11  1.82745E-12  6.70750E-13
  5.500E+00  2.30190E-03  4.24821E-11  1.56724E-11  1.79322E-12  6.61486E-13
  5.600E+00  2.38630E-03  4.09548E-11  1.51830E-11  1.76023E-12  6.52498E-13
  5.700E+00  2.47222E-03  3.95080E-11  1.47169E-11  1.72841E-12  6.43774E-13
  5.800E+00  2.55965E-03  3.81359E-11  1.42725E-11  1.69770E-12  6.35302E-13
  5.900E+00  2.64859E-03  3.68336E-11  1.38485E-11  1.66805E-12  6.27071E-13
  6.000E+00  2.73905E-03  3.55965E-11  1.34436E-11  1.63939E-12  6.19070E-13
  6.100E+00  2.83103E-03  3.44202E-11  1.30567E-11  1.61168E-12  6.11290E-13
  6.200E+00  2.92452E-03  3.33009E-11  1.26867E-11  1.58488E-12  6.03721E-13
  6.300E+00  3.01952E-03  3.22349E-11  1.23327E-11  1.55893E-12  5.96354E-13
  6.400E+00  3.11604E-03  3.12190E-11  1.19937E-11  1.53381E-12  5.89182E-13
  6.500E+00  3.21407E-03  3.02499E-11  1.16689E-11  1.50947E-12  5.82195E-13
  6.600E+00  3.31362E-03  2.93250E-11  1.13574E-11  1.48587E-12  5.75388E-13
  6.700E+00  3.41468E-03  2.84416E-11  1.10586E-11  1.46298E-12  5.68752E-13
  6.800E+00  3.51725E-03  2.75972E-11  1.07717E-11  1.44078E-12  5.62282E-13
  6.900E+00  3.62133E-03  2.67896E-11  1.04961E-11  1.41923E-12  5.55970E-13
  7.000E+00  3.72692E-03  2.60167E-11  1.02313E-11  1.39830E-12  5.49811E-13
  7.100E+00  3.83403E-03  2.52765E-11  9.97665E-12  1.37796E-12  5.43799E-13
  7.200E+00  3.94265E-03  2.45672E-11  9.73162E-12  1.35820E-12  5.37929E-13
  7.300E+00  4.05278E-03  2.38871E-11  9.49575E-12  1.33899E-12  5.32196E-13
  7.400E+00  4.16442E-03  2.32346E-11  9.26857E-12  1.32030E-12  5.26595E-13
  7.500E+00  4.27757E-03  2.26084E-11  9.04966E-12  1.30211E-12  5.21120E-13
  7.600E+00  4.39223E-03  2.20069E-11  8.83862E-12  1.28441E-12  5.15768E-13
  7.700E+00  4.50840E-03  2.14289E-11  8.63506E-12  1.26718E-12  5.10535E-13
  7.800E+00  4.62608E-03  2.08732E-11  8.43863E-12  1.25039E-12  5.05415E-13
  7.900E+00  4.74527E-03  2.03387E-11  8.24901E-12  1.23403E-12  5.00407E-13
  8.000E+00  4.86597E-03  1.98242E-11  8.06586E-12  1.21808E-12  4.95505E-13
  8.100E+00  4.98817E-03  1.93289E-11  7.88890E-12  1.20254E-12  4.90707E-13
  8.200E+00  5.11188E-03  1.88518E-11  7.71784E-12  1.18737E-12  4.86008E-13
  8.300E+00  5.23711E-03  1.83920E-11  7.55243E-12  1.17258E-12  4.81407E-13
  8.400E+00  5.36383E-03  1.79487E-11  7.39241E-12  1.15814E-12  4.76899E-13
  8.500E+00  5.49207E-03  1.75210E-11  7.23755E-12  1.14405E-12  4.72481E-13
  8.600E+00  5.62181E-03  1.71084E-11  7.08763E-12  1.13029E-12  4.68152E-13
  8.700E+00  5.75306E-03  1.67100E-11  6.94243E-12  1.11685E-12  4.63908E-13
  8.800E+00  5.88581E-03  1.63253E-11  6.80175E-12  1.10371E-12  4.59747E-13
  8.900E+00  6.02007E-03  1.59536E-11  6.66541E-12  1.09088E-12  4.55666E-13
  9.000E+00  6.15583E-03  1.55943E-11  6.53323E-12  1.07833E-12  4.51663E-13
  9.100E+00  6.29310E-03  1.52469E-11  6.40503E-12  1.06607E-12  4.47735E-13
  9.200E+00  6.43187E-03  1.49109E-11  6.28066E-12  1.05407E-12  4.43880E-13
  9.300E+00  6.57214E-03  1.45858E-11  6.15996E-12  1.04234E-12  4.40097E-13
  9.400E+00  6.71392E-03  1.42711E-11  6.04279E-12  1.03085E-12  4.36383E-13
  9.500E+00  6.85720E-03  1.39664E-11  5.92901E-12  1.01961E-12  4.32736E-13
  9.600E+00  7.00198E-03  1.36713E-11  5.81849E-12  1.00861E-12  4.29154E-13
  9.700E+00  7.14827E-03  1.33853E-11  5.71110E-12  9.97841E-13  4.25636E-13
  9.800E+00  7.29605E-03  1.31081E-11  5.60673E-12  9.87291E-13  4.22180E-13
  9.900E+00  7.44534E-03  1.28394E-11  5.50525E-12  9.76957E-13  4.18784E-13
  1.000E+01  7.59612E-03  1.25788E-11  5.40657E-12  9.66833E-13  4.15447E-13
  1.025E+01  7.97965E-03  1.19605E-11  5.17142E-12  9.42395E-13  4.07349E-13
  1.050E+01  8.37255E-03  1.13864E-11  4.95160E-12  9.19135E-13  3.99584E-13
  1.075E+01  8.77480E-03  1.08522E-11  4.74580E-12  8.96969E-13  3.92131E-13
  1.100E+01  9.18641E-03  1.03544E-11  4.55282E-12  8.75822E-13  3.84972E-13
  1.125E+01  9.60736E-03  9.88980E-12  4.37162E-12  8.55626E-13  3.78088E-13
  1.150E+01  1.00376E-02  9.45542E-12  4.20124E-12  8.36318E-13  3.71464E-13
  1.175E+01  1.04773E-02  9.04876E-12  4.04081E-12  8.17841E-13  3.65084E-13
  1.200E+01  1.09262E-02  8.66750E-12  3.88958E-12  8.00143E-13  3.58935E-13
  1.225E+01  1.13844E-02  8.30958E-12  3.74684E-12  7.83175E-13  3.53003E-13
  1.250E+01  1.18520E-02  7.97314E-12  3.61196E-12  7.66894E-13  3.47278E-13
  1.275E+01  1.23288E-02  7.65650E-12  3.48437E-12  7.51258E-13  3.41748E-13
  1.300E+01  1.28150E-02  7.35813E-12  3.36354E-12  7.36230E-13  3.36403E-13
  1.325E+01  1.33104E-02  7.07667E-12  3.24899E-12  7.21776E-13  3.31233E-13
  1.350E+01  1.38150E-02  6.81086E-12  3.14029E-12  7.07863E-13  3.26229E-13
  1.375E+01  1.43290E-02  6.55957E-12  3.03705E-12  6.94461E-13  3.21384E-13
  1.400E+01  1.48521E-02  6.32176E-12  2.93890E-12  6.81544E-13  3.16690E-13
  1.425E+01  1.53845E-02  6.09649E-12  2.84550E-12  6.69084E-13  3.12139E-13
  1.450E+01  1.59262E-02  5.88289E-12  2.75656E-12  6.57058E-13  3.07725E-13
  1.475E+01  1.64770E-02  5.68018E-12  2.67178E-12  6.45445E-13  3.03441E-13
  1.500E+01  1.70371E-02  5.48763E-12  2.59091E-12  6.34222E-13  2.99282E-13
  1.525E+01  1.76063E-02  5.30456E-12  2.51371E-12  6.23371E-13  2.95242E-13
  1.550E+01  1.81848E-02  5.13038E-12  2.43995E-12  6.12874E-13  2.91315E-13
  1.575E+01  1.87724E-02  4.96452E-12  2.36944E-12  6.02714E-13  2.87497E-13
  1.600E+01  1.93692E-02  4.80645E-12  2.30198E-12  5.92874E-13  2.83783E-13
  1.625E+01  1.99751E-02  4.65570E-12  2.23739E-12  5.83340E-13  2.80169E-13
  1.650E+01  2.05901E-02  4.51182E-12  2.17552E-12  5.74097E-13  2.76651E-13
  1.675E+01  2.12143E-02  4.37441E-12  2.11621E-12  5.65133E-13  2.73224E-13
  1.700E+01  2.18476E-02  4.24308E-12  2.05931E-12  5.56435E-13  2.69885E-13
  1.725E+01  2.24900E-02  4.11748E-12  2.00470E-12  5.47992E-13  2.66631E-13
