 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # Element:  N,  Z =   7,  atomic weight = 1.40067E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.57926E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  7
 #
 # Electron density: Read from file z_007.den   
 #                   Number of data points =  701
 #                   Volume integral = 7.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 2.64241E-19 cm**2 = 9.43623E-03 a0**2
 # 1st transport cross section = 4.39991E-24 cm**2 = 1.57123E-07 a0**2
 # 2nd transport cross section = 1.26041E-23 cm**2 = 4.50100E-07 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  2.000E-01  3.04617E-06  9.03572E-16  3.22671E+01  0.00000E+00  1.0E-07
  2.250E-01  3.85531E-06  5.89986E-16  2.10688E+01  0.00000E+00  1.0E-07
  2.500E-01  4.75964E-06  4.00021E-16  1.42850E+01  0.00000E+00  1.0E-07
  2.750E-01  5.75916E-06  2.80688E-16  1.00235E+01  0.00000E+00  1.0E-07
  3.000E-01  6.85388E-06  2.03055E-16  7.25124E+00  0.00000E+00  1.0E-07
  3.250E-01  8.04378E-06  1.50876E-16  5.38790E+00  0.00000E+00  1.0E-07
  3.500E-01  9.32888E-06  1.14744E-16  4.09758E+00  0.00000E+00  1.0E-07
  3.750E-01  1.07092E-05  8.90412E-17  3.17972E+00  0.00000E+00  1.0E-07
  4.000E-01  1.21846E-05  7.03128E-17  2.51092E+00  0.00000E+00  1.0E-07
  4.250E-01  1.37553E-05  5.63717E-17  2.01307E+00  0.00000E+00  1.0E-07
  4.500E-01  1.54212E-05  4.57957E-17  1.63539E+00  0.00000E+00  1.0E-07
  4.750E-01  1.71822E-05  3.76368E-17  1.34404E+00  0.00000E+00  1.0E-07
  5.000E-01  1.90385E-05  3.12485E-17  1.11590E+00  0.00000E+00  1.0E-07
  5.250E-01  2.09899E-05  2.61800E-17  9.34904E-01  0.00000E+00  1.0E-07
  5.500E-01  2.30365E-05  2.21112E-17  7.89604E-01  0.00000E+00  1.0E-07
  5.750E-01  2.51783E-05  1.88104E-17  6.71732E-01  0.00000E+00  1.0E-07
  6.000E-01  2.74153E-05  1.61074E-17  5.75205E-01  0.00000E+00  1.0E-07
  6.250E-01  2.97475E-05  1.38751E-17  4.95488E-01  0.00000E+00  1.0E-07
  6.500E-01  3.21749E-05  1.20172E-17  4.29144E-01  0.00000E+00  1.0E-07
  6.750E-01  3.46974E-05  1.04603E-17  3.73543E-01  0.00000E+00  1.0E-07
