

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 3.70000E+06 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
    7500      1.73249591E-06      1.73484475E-06  i
    7600      1.48488891E-06      1.48690223E-06  i
    7700      1.27269555E-06      1.27442111E-06  i
    7800      1.09082126E-06      1.09230035E-06  i
    7900      9.34922042E-07      9.36189618E-07  i
    8000      8.01308798E-07      8.02395380E-07  i
    8100      6.86838405E-07      6.87769736E-07  i
    8200      5.88628317E-07      5.89426630E-07  i
    8300      5.04479187E-07      5.05163389E-07  i
    8400      4.32367459E-07      4.32953914E-07  i
    8500      3.70559979E-07      3.71062585E-07  i
    8600      3.17584462E-07      3.18015268E-07  i
    8700      2.72178915E-07      2.72548145E-07  i
    8800      2.33238804E-07      2.33555244E-07  i
    8900      1.99882682E-07      2.00153818E-07  i
    9000      1.71293546E-07      1.71526093E-07  i
    9100      1.46790013E-07      1.46989215E-07  i
    9200      1.25788417E-07      1.25959160E-07  i
    9300      1.07788633E-07      1.07935059E-07  i
    9400      9.23282160E-08      9.24537109E-08  i
    9500      7.91051425E-08      7.92128386E-08  i
    9600      6.77722028E-08      6.78644241E-08  i
    9700      5.80596393E-08      5.81386647E-08  i
    9800      4.97346049E-08      4.98024466E-08  i
    9900      4.25996152E-08      4.26577380E-08  i
   10000      3.64843625E-08      3.65340779E-08  i
   10250      2.47060115E-08      2.47398814E-08  i

  WARNING: TST = 1.6753E-08. CHECK CONVERGENCE.


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 7.82402E-13  0.000E+00 ( 8.791E-07, 9.792E-08) ( 0.000E+00, 0.000E+00)  1.00E-07
  1.000E-04 7.82400E-13  0.000E+00 ( 8.791E-07, 9.792E-08) ( 6.741E-13, 7.509E-14)  1.00E-07
  1.250E-04 7.82398E-13  0.000E+00 ( 8.791E-07, 9.792E-08) ( 8.426E-13, 9.386E-14)  1.00E-07
  1.500E-04 7.82397E-13  0.000E+00 ( 8.791E-07, 9.792E-08) ( 1.011E-12, 1.126E-13)  1.00E-07
  1.750E-04 7.82395E-13  0.000E+00 ( 8.791E-07, 9.792E-08) ( 1.180E-12, 1.314E-13)  1.00E-07
  2.000E-04 7.82392E-13  0.000E+00 ( 8.791E-07, 9.792E-08) ( 1.348E-12, 1.502E-13)  1.00E-07
  2.250E-04 7.82390E-13  0.000E+00 ( 8.791E-07, 9.792E-08) ( 1.517E-12, 1.690E-13)  1.00E-07
  2.500E-04 7.82387E-13  0.000E+00 ( 8.791E-07, 9.792E-08) ( 1.685E-12, 1.877E-13)  1.00E-07
  2.750E-04 7.82383E-13  0.000E+00 ( 8.791E-07, 9.792E-08) ( 1.854E-12, 2.065E-13)  1.00E-07
  3.000E-04 7.82380E-13  0.000E+00 ( 8.791E-07, 9.792E-08) ( 2.022E-12, 2.253E-13)  1.00E-07
  3.250E-04 7.82376E-13  0.000E+00 ( 8.791E-07, 9.792E-08) ( 2.191E-12, 2.440E-13)  1.00E-07
  3.500E-04 7.82372E-13  0.000E+00 ( 8.791E-07, 9.792E-08) ( 2.359E-12, 2.628E-13)  1.00E-07
  3.750E-04 7.82367E-13  0.000E+00 ( 8.791E-07, 9.792E-08) ( 2.528E-12, 2.816E-13)  1.00E-07
  4.000E-04 7.82362E-13  0.000E+00 ( 8.791E-07, 9.792E-08) ( 2.696E-12, 3.004E-13)  1.00E-07
  4.250E-04 7.82357E-13  0.000E+00 ( 8.791E-07, 9.792E-08) ( 2.865E-12, 3.191E-13)  1.00E-07
  4.500E-04 7.82352E-13  0.000E+00 ( 8.791E-07, 9.792E-08) ( 3.033E-12, 3.379E-13)  1.00E-07
  4.750E-04 7.82346E-13  0.000E+00 ( 8.791E-07, 9.792E-08) ( 3.202E-12, 3.567E-13)  1.00E-07
  5.000E-04 7.82340E-13  0.000E+00 ( 8.791E-07, 9.792E-08) ( 3.370E-12, 3.755E-13)  1.00E-07
  5.250E-04 7.82333E-13  0.000E+00 ( 8.791E-07, 9.792E-08) ( 3.539E-12, 3.942E-13)  1.00E-07
  5.500E-04 7.82327E-13  0.000E+00 ( 8.791E-07, 9.792E-08) ( 3.707E-12, 4.130E-13)  1.00E-07
  5.750E-04 7.82320E-13  0.000E+00 ( 8.791E-07, 9.792E-08) ( 3.876E-12, 4.318E-13)  1.00E-07
  6.000E-04 7.82312E-13  0.000E+00 ( 8.790E-07, 9.792E-08) ( 4.044E-12, 4.505E-13)  1.00E-07
  6.250E-04 7.82305E-13  0.000E+00 ( 8.790E-07, 9.792E-08) ( 4.213E-12, 4.693E-13)  1.00E-07
  6.500E-04 7.82297E-13  0.000E+00 ( 8.790E-07, 9.792E-08) ( 4.381E-12, 4.881E-13)  1.00E-07
  6.750E-04 7.82288E-13  0.000E+00 ( 8.790E-07, 9.792E-08) ( 4.550E-12, 5.069E-13)  1.00E-07
  7.000E-04 7.82280E-13  0.000E+00 ( 8.790E-07, 9.792E-08) ( 4.718E-12, 5.256E-13)  1.00E-07
  7.250E-04 7.82271E-13  0.000E+00 ( 8.790E-07, 9.792E-08) ( 4.887E-12, 5.444E-13)  1.00E-07
  7.500E-04 7.82262E-13  0.000E+00 ( 8.790E-07, 9.792E-08) ( 5.055E-12, 5.632E-13)  1.00E-07
