

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 3.70000E+06 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
    2550      7.21270366E-04      7.22359028E-04  i
    2600      6.61989247E-04      6.62987021E-04  i
    2650      6.07653862E-04      6.08568450E-04  i
    2700      5.57845415E-04      5.58683857E-04  i
    2750      5.12181059E-04      5.12949790E-04  i
    2800      4.70310776E-04      4.71015680E-04  i
    2850      4.31914530E-04      4.32560987E-04  i
    2900      3.96699673E-04      3.97292603E-04  i
    2950      3.64398572E-04      3.64942476E-04  i
    3000      3.34766438E-04      3.35265432E-04  i
    3100      2.82632465E-04      2.83052613E-04  i
    3200      2.38725490E-04      2.39079425E-04  i
    3300      2.01729070E-04      2.02027374E-04  i
    3400      1.70540338E-04      1.70791876E-04  i
    3500      1.44234989E-04      1.44447194E-04  i
    3600      1.22037853E-04      1.22216960E-04  i
    3700      1.03298626E-04      1.03449866E-04  i
    3800      8.74713813E-05      8.75991494E-05  i
    3900      7.40976076E-05      7.42055939E-05  i
    4000      6.27920261E-05      6.28833329E-05  i
    4100      5.32306943E-05      5.33079308E-05  i
    4200      4.51411191E-05      4.52064806E-05  i
    4300      3.82939529E-05      3.83492872E-05  i
    4400      3.24960869E-05      3.25429506E-05  i
    4500      2.75848194E-05      2.76245246E-05  i
    4600      2.34230088E-05      2.34566615E-05  i
    4700      1.98950075E-05      1.99235403E-05  i
    4800      1.69032262E-05      1.69274266E-05  i
    4900      1.43653008E-05      1.43858334E-05  i
    5000      1.22116719E-05      1.22290983E-05  i
    5100      1.03835569E-05      1.03983516E-05  i
    5200      8.83127815E-06      8.84384260E-06  i
    5300      7.51282540E-06      7.52349878E-06  i
    5400      6.39265017E-06      6.40171971E-06  i
    5500      5.44067599E-06      5.44838475E-06  i
    5600      4.63142440E-06      4.63797830E-06  i
    5700      3.94332556E-06      3.94889896E-06  i
    5800      3.35809572E-06      3.36283650E-06  i
    5900      2.86024140E-06      2.86427487E-06  i
    6000      2.43661833E-06      2.44005064E-06  i
    6100      2.07608029E-06      2.07900184E-06  i
    6200      1.76916992E-06      1.77165726E-06  i
    6300      1.50785895E-06      1.50997695E-06  i
    6400      1.28532820E-06      1.28713195E-06  i
    6500      1.09578838E-06      1.09732494E-06  i
    6600      9.34321393E-07      9.35630551E-07  i
    6700      7.96745555E-07      7.97861092E-07  i
    6800      6.79482296E-07      6.80432881E-07  i
    6900      5.79551241E-07      5.80361503E-07  i
    7000      4.94406474E-07      4.95097290E-07  i
    7100      4.21790387E-07      4.22379404E-07  i
    7200      3.59830169E-07      3.60332425E-07  i
    7300      3.07030119E-07      3.07458386E-07  i
    7400      2.61985333E-07      2.62350661E-07  i
    7500      2.23575686E-07      2.23887270E-07  i
    7600      1.90810342E-07      1.91076155E-07  i
    7700      1.62857134E-07      1.63083952E-07  i
    7800      1.38989391E-07      1.39182972E-07  i
    7900      1.18638139E-07      1.18803214E-07  i
    8000      1.01270990E-07      1.01411839E-07  i
    8100      8.64489868E-08      8.65693071E-08  i
    8200      7.37983313E-08      7.39008948E-08  i
    8300      6.29742909E-08      6.30618404E-08  i
    8400      5.37563481E-08      5.38312196E-08  i
    8500      4.58868249E-08      4.59505999E-08  i
    8600      3.91685563E-08      3.92229189E-08  i
    8700      3.34317940E-08      3.34783333E-08  i
    8800      2.85339817E-08      2.85737788E-08  i
    8900      2.43157064E-08      2.43498785E-08  i
    9000      2.07432532E-08      2.07724685E-08  i
    9100      1.76926168E-08      1.77171351E-08  i
    9200      1.50863977E-08      1.51072929E-08  i
    9300      1.28598036E-08      1.28780295E-08  i
    9400      1.09578678E-08      1.09734495E-08  i
    9500      9.27899974E-09      9.29218426E-09  i
    9600      7.88936947E-09      7.90039633E-09  i
    9700      6.70042995E-09      6.70996317E-09  i
    9800      5.68449897E-09      5.69240167E-09  i
    9900      4.81464296E-09      4.82193105E-09  i
   10000      4.07043043E-09      4.07675254E-09  i
   10250      2.64257659E-09      2.64638953E-09  i


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 4.16467E-14  0.000E+00 ( 2.040E-07, 4.140E-09) ( 0.000E+00, 0.000E+00)  1.00E-07
  1.000E-04 4.16466E-14  0.000E+00 ( 2.040E-07, 4.140E-09) ( 1.564E-13, 3.174E-15)  1.00E-07
  1.250E-04 4.16465E-14  0.000E+00 ( 2.040E-07, 4.140E-09) ( 1.956E-13, 3.968E-15)  1.00E-07
  1.500E-04 4.16464E-14  0.000E+00 ( 2.040E-07, 4.140E-09) ( 2.347E-13, 4.761E-15)  1.00E-07
  1.750E-04 4.16463E-14  0.000E+00 ( 2.040E-07, 4.140E-09) ( 2.738E-13, 5.555E-15)  1.00E-07
  2.000E-04 4.16462E-14  0.000E+00 ( 2.040E-07, 4.140E-09) ( 3.129E-13, 6.349E-15)  1.00E-07
  2.250E-04 4.16461E-14  0.000E+00 ( 2.040E-07, 4.140E-09) ( 3.520E-13, 7.142E-15)  1.00E-07
  2.500E-04 4.16459E-14  0.000E+00 ( 2.040E-07, 4.140E-09) ( 3.911E-13, 7.936E-15)  1.00E-07
  2.750E-04 4.16458E-14  0.000E+00 ( 2.040E-07, 4.140E-09) ( 4.302E-13, 8.729E-15)  1.00E-07
  3.000E-04 4.16456E-14  0.000E+00 ( 2.040E-07, 4.140E-09) ( 4.693E-13, 9.523E-15)  1.00E-07
  3.250E-04 4.16454E-14  0.000E+00 ( 2.040E-07, 4.140E-09) ( 5.084E-13, 1.032E-14)  1.00E-07
  3.500E-04 4.16452E-14  0.000E+00 ( 2.040E-07, 4.140E-09) ( 5.475E-13, 1.111E-14)  1.00E-07
  3.750E-04 4.16450E-14  0.000E+00 ( 2.040E-07, 4.140E-09) ( 5.867E-13, 1.190E-14)  1.00E-07
  4.000E-04 4.16447E-14  0.000E+00 ( 2.040E-07, 4.140E-09) ( 6.258E-13, 1.270E-14)  1.00E-07
  4.250E-04 4.16445E-14  0.000E+00 ( 2.040E-07, 4.140E-09) ( 6.649E-13, 1.349E-14)  1.00E-07
  4.500E-04 4.16442E-14  0.000E+00 ( 2.040E-07, 4.140E-09) ( 7.040E-13, 1.428E-14)  1.00E-07
  4.750E-04 4.16440E-14  0.000E+00 ( 2.040E-07, 4.140E-09) ( 7.431E-13, 1.508E-14)  1.00E-07
  5.000E-04 4.16437E-14  0.000E+00 ( 2.040E-07, 4.140E-09) ( 7.822E-13, 1.587E-14)  1.00E-07
  5.250E-04 4.16434E-14  0.000E+00 ( 2.040E-07, 4.140E-09) ( 8.213E-13, 1.666E-14)  1.00E-07
  5.500E-04 4.16430E-14  0.000E+00 ( 2.040E-07, 4.140E-09) ( 8.604E-13, 1.746E-14)  1.00E-07
  5.750E-04 4.16427E-14  0.000E+00 ( 2.040E-07, 4.140E-09) ( 8.995E-13, 1.825E-14)  1.00E-07
  6.000E-04 4.16423E-14  0.000E+00 ( 2.040E-07, 4.140E-09) ( 9.386E-13, 1.905E-14)  1.00E-07
  6.250E-04 4.16420E-14  0.000E+00 ( 2.040E-07, 4.140E-09) ( 9.777E-13, 1.984E-14)  1.00E-07
  6.500E-04 4.16416E-14  0.000E+00 ( 2.040E-07, 4.140E-09) ( 1.017E-12, 2.063E-14)  1.00E-07
  6.750E-04 4.16412E-14  0.000E+00 ( 2.040E-07, 4.140E-09) ( 1.056E-12, 2.143E-14)  1.00E-07
