 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   9,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  7.750E-01  4.57395E-05  3.07093E-09  7.53938E-10  1.82504E-11  4.48069E-12
  8.000E-01  4.87380E-05  2.89136E-09  7.21463E-10  1.77376E-11  4.42601E-12
  8.250E-01  5.18317E-05  2.72708E-09  6.91148E-10  1.72527E-11  4.37255E-12
  8.500E-01  5.50205E-05  2.57635E-09  6.62797E-10  1.67931E-11  4.32027E-12
  8.750E-01  5.83045E-05  2.43771E-09  6.36238E-10  1.63568E-11  4.26914E-12
  9.000E-01  6.16838E-05  2.30988E-09  6.11315E-10  1.59420E-11  4.21913E-12
  9.250E-01  6.51582E-05  2.19175E-09  5.87893E-10  1.55469E-11  4.17019E-12
  9.500E-01  6.87277E-05  2.08235E-09  5.65847E-10  1.51701E-11  4.12231E-12
  9.750E-01  7.23925E-05  1.98083E-09  5.45069E-10  1.48104E-11  4.07545E-12
  1.000E+00  7.61524E-05  1.88645E-09  5.25458E-10  1.44664E-11  4.02957E-12
  1.100E+00  9.21439E-05  1.56827E-09  4.57038E-10  1.32293E-11  3.85543E-12
  1.200E+00  1.09658E-04  1.32313E-09  4.01517E-10  1.21762E-11  3.69503E-12
  1.300E+00  1.28695E-04  1.13034E-09  3.55777E-10  1.12691E-11  3.54700E-12
  1.400E+00  1.49255E-04  9.76102E-10  3.17610E-10  1.04801E-11  3.41011E-12
  1.500E+00  1.71338E-04  8.50862E-10  2.85407E-10  9.78813E-12  3.28329E-12
  1.600E+00  1.94942E-04  7.47853E-10  2.57973E-10  9.17684E-12  3.16559E-12
  1.700E+00  2.20070E-04  6.62164E-10  2.34400E-10  8.63334E-12  3.05614E-12
  1.800E+00  2.46720E-04  5.90159E-10  2.13988E-10  8.14730E-12  2.95417E-12
  1.900E+00  2.74892E-04  5.29104E-10  1.96191E-10  7.71036E-12  2.85900E-12
  2.000E+00  3.04586E-04  4.76909E-10  1.80578E-10  7.31566E-12  2.77002E-12
  2.100E+00  3.35803E-04  4.31956E-10  1.66800E-10  6.95754E-12  2.68665E-12
  2.200E+00  3.68542E-04  3.92979E-10  1.54579E-10  6.63127E-12  2.60842E-12
  2.300E+00  4.02802E-04  3.58973E-10  1.43687E-10  6.33291E-12  2.53488E-12
  2.400E+00  4.38585E-04  3.29136E-10  1.33936E-10  6.05910E-12  2.46562E-12
  2.500E+00  4.75889E-04  3.02818E-10  1.25169E-10  5.80701E-12  2.40029E-12
  2.600E+00  5.14715E-04  2.79493E-10  1.17258E-10  5.57421E-12  2.33858E-12
  2.700E+00  5.55063E-04  2.58726E-10  1.10094E-10  5.35861E-12  2.28018E-12
  2.800E+00  5.96931E-04  2.40160E-10  1.03584E-10  5.15841E-12  2.22485E-12
  2.900E+00  6.40321E-04  2.23497E-10  9.76496E-11  4.97205E-12  2.17234E-12
  3.000E+00  6.85233E-04  2.08487E-10  9.22249E-11  4.79818E-12  2.12245E-12
  3.100E+00  7.31665E-04  1.94920E-10  8.72522E-11  4.63559E-12  2.07499E-12
  3.200E+00  7.79618E-04  1.82619E-10  8.26820E-11  4.48324E-12  2.02977E-12
  3.300E+00  8.29092E-04  1.71432E-10  7.84715E-11  4.34021E-12  1.98664E-12
  3.400E+00  8.80086E-04  1.61228E-10  7.45833E-11  4.20568E-12  1.94547E-12
  3.500E+00  9.32601E-04  1.51898E-10  7.09851E-11  4.07894E-12  1.90611E-12
  3.600E+00  9.86636E-04  1.43345E-10  6.76483E-11  3.95932E-12  1.86845E-12
  3.700E+00  1.04219E-03  1.35484E-10  6.45478E-11  3.84626E-12  1.83237E-12
  3.800E+00  1.09927E-03  1.28245E-10  6.16616E-11  3.73923E-12  1.79779E-12
  3.900E+00  1.15786E-03  1.21563E-10  5.89701E-11  3.63778E-12  1.76460E-12
  4.000E+00  1.21797E-03  1.15384E-10  5.64559E-11  3.54148E-12  1.73272E-12
  4.100E+00  1.27961E-03  1.09658E-10  5.41035E-11  3.44996E-12  1.70208E-12
  4.200E+00  1.34276E-03  1.04342E-10  5.18993E-11  3.36288E-12  1.67259E-12
  4.300E+00  1.40743E-03  9.93986E-11  4.98307E-11  3.27991E-12  1.64420E-12
  4.400E+00  1.47362E-03  9.47938E-11  4.78869E-11  3.20079E-12  1.61685E-12
  4.500E+00  1.54133E-03  9.04974E-11  4.60577E-11  3.12525E-12  1.59047E-12
