

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 3.70000E+06 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
    7400      3.29851909E-09      3.30516208E-09  i
    7500      2.62777338E-09      2.63312865E-09  i
    7600      2.08606797E-09      2.09006334E-09  i
    7700      1.59299135E-09      1.59640191E-09  i
    7800      1.23359700E-09      1.23599805E-09  i


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.20568E-14  0.000E+00 ( 1.484E-07, 4.887E-09) ( 0.000E+00, 0.000E+00)  1.00E-07
  1.000E-04 2.20568E-14  0.000E+00 ( 1.484E-07, 4.887E-09) ( 1.138E-13, 3.748E-15)  1.00E-07
  1.250E-04 2.20568E-14  0.000E+00 ( 1.484E-07, 4.887E-09) ( 1.423E-13, 4.684E-15)  1.00E-07
  1.500E-04 2.20568E-14  0.000E+00 ( 1.484E-07, 4.887E-09) ( 1.707E-13, 5.621E-15)  1.00E-07
  1.750E-04 2.20567E-14  0.000E+00 ( 1.484E-07, 4.887E-09) ( 1.992E-13, 6.558E-15)  1.00E-07
  2.000E-04 2.20567E-14  0.000E+00 ( 1.484E-07, 4.887E-09) ( 2.276E-13, 7.495E-15)  1.00E-07
  2.250E-04 2.20567E-14  0.000E+00 ( 1.484E-07, 4.887E-09) ( 2.561E-13, 8.432E-15)  1.00E-07
  2.500E-04 2.20566E-14  0.000E+00 ( 1.484E-07, 4.887E-09) ( 2.845E-13, 9.369E-15)  1.00E-07
  2.750E-04 2.20566E-14  0.000E+00 ( 1.484E-07, 4.887E-09) ( 3.130E-13, 1.031E-14)  1.00E-07
